ts,open,high,low,close,volume
2025-04-23 00:00:00+00:00,5412.75,5413.5,5412.25,5412.25,140.0
2025-04-23 00:00:15+00:00,5412.5,5413.0,5411.75,5412.25,64.0
2025-04-23 00:00:30+00:00,5412.25,5413.25,5412.25,5412.75,34.0
2025-04-23 00:00:45+00:00,5413.0,5413.25,5412.25,5412.25,51.0
2025-04-23 00:01:00+00:00,5412.25,5412.5,5410.0,5411.5,385.0
2025-04-23 00:01:15+00:00,5411.25,5412.0,5411.25,5411.75,70.0
2025-04-23 00:01:30+00:00,5412.0,5412.0,5411.5,5411.75,27.0
2025-04-23 00:01:45+00:00,5411.5,5412.25,5411.25,5411.75,41.0
2025-04-23 00:02:00+00:00,5412.25,5412.75,5411.25,5412.0,83.0
2025-04-23 00:02:15+00:00,5412.0,5412.25,5411.75,5411.75,49.0
2025-04-23 00:02:30+00:00,5412.0,5413.75,5412.0,5413.0,109.0
2025-04-23 00:02:45+00:00,5413.25,5414.5,5412.75,5414.0,115.0
2025-04-23 00:03:00+00:00,5413.75,5413.75,5412.5,5412.75,65.0
2025-04-23 00:03:15+00:00,5412.75,5413.0,5412.25,5412.75,48.0
2025-04-23 00:03:30+00:00,5413.0,5413.0,5412.75,5412.75,38.0
2025-04-23 00:03:45+00:00,5413.25,5413.5,5413.0,5413.5,36.0
2025-04-23 00:04:00+00:00,5413.5,5413.75,5413.0,5413.0,32.0
2025-04-23 00:04:15+00:00,5413.25,5413.5,5413.0,5413.0,22.0
2025-04-23 00:04:30+00:00,5413.25,5414.0,5413.0,5413.5,79.0
2025-04-23 00:04:45+00:00,5413.75,5414.0,5413.5,5413.75,14.0
2025-04-23 00:05:00+00:00,5413.5,5413.75,5413.25,5413.25,61.0
2025-04-23 00:05:15+00:00,5413.5,5413.5,5412.5,5413.25,39.0
2025-04-23 00:05:30+00:00,5413.25,5413.25,5412.75,5413.0,9.0
2025-04-23 00:05:45+00:00,5413.0,5414.25,5412.75,5414.0,40.0
2025-04-23 00:06:00+00:00,5414.25,5414.5,5413.75,5414.0,87.0
2025-04-23 00:06:15+00:00,5414.0,5414.25,5413.75,5414.0,23.0
2025-04-23 00:06:30+00:00,5414.25,5414.75,5414.0,5414.25,78.0
2025-04-23 00:06:45+00:00,5414.25,5415.0,5414.0,5414.5,103.0
2025-04-23 00:07:00+00:00,5414.25,5414.5,5413.5,5414.0,136.0
2025-04-23 00:07:15+00:00,5414.0,5414.25,5412.0,5412.25,148.0
2025-04-23 00:07:30+00:00,5412.25,5412.5,5411.5,5412.25,53.0
2025-04-23 00:07:45+00:00,5412.25,5414.25,5412.0,5414.0,70.0
2025-04-23 00:08:00+00:00,5413.75,5414.25,5413.5,5413.75,39.0
2025-04-23 00:08:15+00:00,5414.0,5414.0,5413.25,5413.25,10.0
2025-04-23 00:08:30+00:00,5413.25,5413.5,5413.0,5413.0,13.0
2025-04-23 00:08:45+00:00,5413.0,5413.0,5411.5,5411.75,143.0
2025-04-23 00:09:00+00:00,5411.75,5412.0,5408.25,5409.5,387.0
2025-04-23 00:09:15+00:00,5409.5,5410.0,5409.0,5409.25,99.0
2025-04-23 00:09:30+00:00,5409.5,5409.75,5409.25,5409.5,49.0
2025-04-23 00:09:45+00:00,5409.5,5409.75,5406.75,5408.0,241.0
2025-04-23 00:10:00+00:00,5407.5,5408.75,5407.0,5407.5,250.0
2025-04-23 00:10:15+00:00,5407.5,5408.0,5406.75,5407.75,103.0
2025-04-23 00:10:30+00:00,5408.0,5408.25,5406.5,5406.75,121.0
2025-04-23 00:10:45+00:00,5406.75,5407.25,5406.25,5406.5,97.0
2025-04-23 00:11:00+00:00,5406.75,5408.75,5405.5,5408.0,316.0
2025-04-23 00:11:15+00:00,5408.5,5408.75,5407.75,5408.25,85.0
2025-04-23 00:11:30+00:00,5408.25,5409.0,5408.0,5408.75,86.0
2025-04-23 00:11:45+00:00,5409.0,5410.5,5407.0,5407.5,268.0
2025-04-23 00:12:00+00:00,5407.75,5408.5,5406.25,5406.75,122.0
2025-04-23 00:12:15+00:00,5406.75,5407.5,5406.5,5407.0,67.0
2025-04-23 00:12:30+00:00,5406.75,5407.0,5404.25,5405.0,294.0
2025-04-23 00:12:45+00:00,5405.25,5405.25,5404.25,5404.25,123.0
2025-04-23 00:13:00+00:00,5404.25,5406.5,5404.25,5405.25,200.0
2025-04-23 00:13:15+00:00,5405.5,5405.75,5404.5,5404.75,75.0
2025-04-23 00:13:30+00:00,5405.0,5405.75,5404.5,5405.0,50.0
2025-04-23 00:13:45+00:00,5404.75,5406.0,5404.75,5406.0,37.0
2025-04-23 00:14:00+00:00,5406.0,5406.25,5405.0,5406.0,59.0
2025-04-23 00:14:15+00:00,5405.5,5407.75,5405.5,5407.5,120.0
2025-04-23 00:14:30+00:00,5407.25,5409.25,5407.0,5408.75,261.0
2025-04-23 00:14:45+00:00,5408.75,5409.25,5406.75,5406.75,149.0
2025-04-23 00:15:00+00:00,5406.75,5409.75,5403.0,5403.75,574.0
2025-04-23 00:15:15+00:00,5403.25,5405.75,5403.25,5405.0,296.0
2025-04-23 00:15:30+00:00,5405.0,5406.25,5404.75,5405.25,142.0
2025-04-23 00:15:45+00:00,5405.5,5405.75,5403.25,5403.5,200.0
2025-04-23 00:16:00+00:00,5404.0,5406.25,5402.25,5402.5,287.0
2025-04-23 00:16:15+00:00,5402.0,5403.5,5401.75,5402.5,233.0
2025-04-23 00:16:30+00:00,5402.25,5402.75,5402.0,5402.5,159.0
2025-04-23 00:16:45+00:00,5402.25,5405.75,5401.75,5405.0,275.0
2025-04-23 00:17:00+00:00,5405.0,5407.0,5404.5,5407.0,276.0
2025-04-23 00:17:15+00:00,5407.0,5409.0,5407.0,5407.5,308.0
2025-04-23 00:17:30+00:00,5407.5,5408.25,5405.25,5407.5,145.0
2025-04-23 00:17:45+00:00,5407.5,5407.5,5405.75,5406.75,154.0
2025-04-23 00:18:00+00:00,5407.0,5407.75,5405.25,5405.25,93.0
2025-04-23 00:18:15+00:00,5405.25,5405.5,5403.5,5404.0,111.0
2025-04-23 00:18:30+00:00,5403.75,5404.25,5402.25,5402.75,238.0
2025-04-23 00:18:45+00:00,5402.75,5403.25,5401.0,5401.0,207.0
2025-04-23 00:19:00+00:00,5401.75,5404.75,5401.5,5404.75,230.0
2025-04-23 00:19:15+00:00,5405.0,5405.25,5404.5,5405.0,46.0
2025-04-23 00:19:30+00:00,5405.0,5405.0,5404.0,5404.75,65.0
2025-04-23 00:19:45+00:00,5404.75,5405.0,5404.5,5405.0,25.0
2025-04-23 00:20:00+00:00,5404.75,5405.25,5404.25,5404.75,96.0
2025-04-23 00:20:15+00:00,5404.75,5404.75,5404.0,5404.0,50.0
2025-04-23 00:20:30+00:00,5404.25,5405.25,5404.25,5404.75,42.0
2025-04-23 00:20:45+00:00,5405.0,5406.0,5404.75,5404.75,84.0
2025-04-23 00:21:00+00:00,5404.75,5405.0,5404.5,5405.0,37.0
2025-04-23 00:21:15+00:00,5405.0,5405.0,5403.0,5403.0,102.0
2025-04-23 00:21:30+00:00,5403.0,5403.0,5402.5,5402.75,80.0
2025-04-23 00:21:45+00:00,5402.75,5403.75,5402.75,5403.75,25.0
2025-04-23 00:22:00+00:00,5403.5,5404.0,5403.0,5403.0,69.0
2025-04-23 00:22:15+00:00,5403.0,5404.5,5403.0,5404.25,82.0
2025-04-23 00:22:30+00:00,5404.25,5404.25,5403.25,5403.25,41.0
2025-04-23 00:22:45+00:00,5403.25,5403.25,5402.25,5402.25,87.0
2025-04-23 00:23:00+00:00,5403.0,5403.25,5402.5,5403.0,54.0
2025-04-23 00:23:15+00:00,5403.0,5403.75,5403.0,5403.0,45.0
2025-04-23 00:23:30+00:00,5403.25,5403.25,5402.75,5403.0,17.0
2025-04-23 00:23:45+00:00,5402.75,5403.0,5402.5,5402.75,41.0
2025-04-23 00:24:00+00:00,5403.0,5404.0,5402.5,5403.75,64.0
2025-04-23 00:24:15+00:00,5403.5,5404.75,5403.0,5403.0,100.0
2025-04-23 00:24:30+00:00,5403.25,5403.5,5403.0,5403.5,51.0
2025-04-23 00:24:45+00:00,5403.75,5404.25,5403.0,5403.0,62.0
2025-04-23 00:25:00+00:00,5402.75,5402.75,5402.0,5402.75,53.0
2025-04-23 00:25:15+00:00,5402.75,5403.75,5402.75,5403.25,136.0
2025-04-23 00:25:30+00:00,5403.25,5403.25,5402.0,5402.25,68.0
2025-04-23 00:25:45+00:00,5402.25,5402.75,5402.0,5402.5,68.0
2025-04-23 00:26:00+00:00,5402.25,5402.5,5401.5,5401.5,88.0
2025-04-23 00:26:15+00:00,5401.75,5402.5,5401.5,5402.25,74.0
2025-04-23 00:26:30+00:00,5402.25,5402.5,5401.0,5401.5,84.0
2025-04-23 00:26:45+00:00,5401.5,5402.25,5401.25,5402.25,56.0
2025-04-23 00:27:00+00:00,5402.25,5402.5,5401.25,5401.5,59.0
2025-04-23 00:27:15+00:00,5401.5,5401.75,5401.0,5401.25,79.0
2025-04-23 00:27:30+00:00,5401.25,5401.5,5400.5,5401.25,75.0
2025-04-23 00:27:45+00:00,5401.0,5401.5,5400.25,5400.25,131.0
2025-04-23 00:28:00+00:00,5400.5,5401.0,5400.25,5401.0,158.0
2025-04-23 00:28:15+00:00,5400.5,5401.0,5400.5,5400.5,20.0
2025-04-23 00:28:30+00:00,5400.75,5400.75,5396.75,5397.5,575.0
2025-04-23 00:28:45+00:00,5397.5,5398.75,5397.5,5398.5,136.0
2025-04-23 00:29:00+00:00,5398.25,5398.5,5398.0,5398.25,150.0
2025-04-23 00:29:15+00:00,5398.25,5398.5,5397.5,5397.75,105.0
2025-04-23 00:29:30+00:00,5397.5,5397.75,5396.25,5397.5,227.0
2025-04-23 00:29:45+00:00,5397.5,5397.5,5397.0,5397.25,74.0
2025-04-23 00:30:00+00:00,5397.25,5397.75,5397.0,5397.5,84.0
2025-04-23 00:30:15+00:00,5397.5,5398.5,5396.75,5398.0,129.0
2025-04-23 00:30:30+00:00,5398.0,5398.5,5397.75,5398.25,54.0
2025-04-23 00:30:45+00:00,5398.25,5398.5,5398.0,5398.0,27.0
2025-04-23 00:31:00+00:00,5398.25,5398.25,5397.25,5397.25,62.0
2025-04-23 00:31:15+00:00,5397.0,5397.5,5397.0,5397.25,24.0
2025-04-23 00:31:30+00:00,5397.25,5397.25,5396.5,5397.0,48.0
2025-04-23 00:31:45+00:00,5397.0,5397.0,5394.0,5394.25,355.0
2025-04-23 00:32:00+00:00,5394.25,5394.75,5394.0,5394.25,131.0
2025-04-23 00:32:15+00:00,5393.75,5394.25,5393.0,5393.25,144.0
2025-04-23 00:32:30+00:00,5393.0,5393.75,5393.0,5393.75,78.0
2025-04-23 00:32:45+00:00,5393.75,5394.75,5393.75,5394.0,80.0
2025-04-23 00:33:00+00:00,5393.75,5394.0,5392.5,5393.75,102.0
2025-04-23 00:33:15+00:00,5393.75,5394.0,5393.0,5393.0,78.0
2025-04-23 00:33:30+00:00,5393.5,5394.0,5393.0,5393.25,53.0
2025-04-23 00:33:45+00:00,5393.25,5393.5,5393.0,5393.25,43.0
2025-04-23 00:34:00+00:00,5393.25,5393.75,5392.5,5392.75,103.0
2025-04-23 00:34:15+00:00,5393.0,5393.0,5389.75,5391.25,514.0
2025-04-23 00:34:30+00:00,5391.5,5392.0,5390.5,5391.75,213.0
2025-04-23 00:34:45+00:00,5392.0,5392.5,5391.5,5392.0,107.0
2025-04-23 00:35:00+00:00,5391.75,5392.5,5391.5,5392.0,58.0
2025-04-23 00:35:15+00:00,5392.25,5393.0,5392.0,5392.25,97.0
2025-04-23 00:35:30+00:00,5392.25,5393.0,5392.0,5393.0,95.0
2025-04-23 00:35:45+00:00,5393.0,5393.0,5391.75,5392.25,86.0
2025-04-23 00:36:00+00:00,5392.25,5392.75,5391.75,5392.25,39.0
2025-04-23 00:36:15+00:00,5392.25,5392.75,5391.5,5391.5,61.0
2025-04-23 00:36:30+00:00,5391.75,5393.75,5391.75,5393.25,105.0
2025-04-23 00:36:45+00:00,5393.25,5393.25,5392.5,5392.5,78.0
2025-04-23 00:37:00+00:00,5392.5,5393.5,5392.25,5393.0,55.0
2025-04-23 00:37:15+00:00,5393.0,5393.5,5393.0,5393.25,24.0
2025-04-23 00:37:30+00:00,5393.25,5393.5,5393.0,5393.25,30.0
2025-04-23 00:37:45+00:00,5393.25,5394.5,5393.25,5394.25,96.0
2025-04-23 00:38:00+00:00,5394.5,5394.5,5393.0,5394.5,132.0
2025-04-23 00:38:15+00:00,5394.25,5394.5,5393.25,5393.75,122.0
2025-04-23 00:38:30+00:00,5393.75,5394.5,5393.75,5394.0,96.0
2025-04-23 00:38:45+00:00,5394.25,5394.75,5393.5,5394.5,115.0
2025-04-23 00:39:00+00:00,5394.5,5394.5,5393.5,5394.5,53.0
2025-04-23 00:39:15+00:00,5394.5,5394.75,5393.75,5394.0,87.0
2025-04-23 00:39:30+00:00,5394.25,5394.25,5393.75,5393.75,7.0
