ts,open,high,low,close,volume,atr14,ema20,ema50,ema200,vwap,adr
2025-04-23 00:00:00+00:00,5412.75,5415.0,5404.25,5406.75,6213.0,10.75,5406.75,5406.75,5406.75,5408.666666666667,122.0
2025-04-23 00:15:00+00:00,5406.75,5409.75,5396.25,5397.25,7709.0,12.125,5405.845238095238,5406.3774509803925,5406.655472636816,5404.467563329023,122.0
2025-04-23 00:30:00+00:00,5397.25,5398.5,5388.75,5389.0,6219.0,11.333333333333334,5404.240929705215,5405.695982314494,5406.479796292171,5400.64364563163,122.0
2025-04-23 00:45:00+00:00,5388.75,5397.5,5388.25,5397.5,4714.0,10.8125,5403.598936399957,5405.374571243338,5406.390445085284,5399.462636625763,122.0
2025-04-23 01:00:00+00:00,5396.75,5402.5,5393.0,5401.25,5159.0,10.55,5403.37522817139,5405.212823351442,5406.339296377969,5399.368791786055,122.0
2025-04-23 01:15:00+00:00,5401.5,5403.25,5396.25,5397.5,3951.0,9.958333333333334,5402.815682631258,5404.910359690602,5406.251343180179,5399.325891849453,122.0
2025-04-23 01:30:00+00:00,5397.75,5397.75,5378.5,5382.75,8297.0,11.285714285714286,5400.904665237805,5404.041325977245,5406.017498969431,5396.775154591201,122.0
2025-04-23 01:45:00+00:00,5382.75,5385.5,5378.0,5382.5,5195.0,10.8125,5399.151839977061,5403.196568095785,5405.783494004561,5395.157755090573,122.0
2025-04-23 02:00:00+00:00,5382.5,5387.0,5378.5,5386.75,4047.0,10.555555555555555,5397.9707123601975,5402.5516046410485,5405.594106004516,5394.287566661489,122.0
2025-04-23 02:15:00+00:00,5386.75,5389.0,5383.25,5387.5,3202.0,10.075,5396.973501659226,5401.961345635517,5405.41406514875,5393.836629742014,122.0
2025-04-23 02:30:00+00:00,5387.75,5394.5,5387.0,5393.5,3326.0,9.840909090909092,5396.642691977395,5401.629528159614,5405.295517236822,5393.712262200164,122.0
2025-04-23 02:45:00+00:00,5393.5,5398.5,5391.75,5392.75,3522.0,9.583333333333334,5396.271959408119,5401.281311369041,5405.170686219541,5393.747798680832,122.0
2025-04-23 03:00:00+00:00,5392.75,5393.0,5387.25,5388.5,2967.0,9.288461538461538,5395.531772797822,5400.780083472216,5405.004808744719,5393.5562956246795,122.0
2025-04-23 03:15:00+00:00,5388.25,5391.75,5386.75,5390.0,2741.0,8.982142857142858,5395.004937293267,5400.357335100756,5404.85550716517,5393.39099714549,122.0
2025-04-23 03:30:00+00:00,5389.5,5393.0,5387.5,5391.25,2680.0,8.607142857142858,5394.647324217718,5400.000184704649,5404.720128984422,5393.2834145911365,122.0
2025-04-23 03:45:00+00:00,5391.25,5395.5,5388.75,5394.75,2221.0,8.125,5394.65710286365,5399.794295108388,5404.620923720896,5393.274691785725,122.0
2025-04-23 04:00:00+00:00,5394.75,5401.75,5394.5,5399.5,3751.0,7.946428571428571,5395.11833116235,5399.782754123746,5404.569969256012,5393.536998006515,122.0
2025-04-23 04:15:00+00:00,5399.5,5399.75,5394.25,5396.5,2241.0,7.678571428571429,5395.249918670697,5399.654018667913,5404.48967105446,5393.631516431023,122.0
2025-04-23 04:30:00+00:00,5396.5,5401.75,5396.25,5397.75,2454.0,7.392857142857143,5395.488021654441,5399.579351269172,5404.422609650933,5393.782265834666,122.0
2025-04-23 04:45:00+00:00,5397.5,5399.75,5396.75,5398.75,1385.0,7.107142857142857,5395.79868625878,5399.546827689988,5404.366165773809,5393.860547723003,122.0
2025-04-23 05:00:00+00:00,5398.25,5398.75,5391.0,5391.5,2640.0,6.285714285714286,5395.389287567468,5399.2312658197925,5404.238144223821,5393.857099392678,122.0
2025-04-23 05:15:00+00:00,5391.5,5397.25,5388.0,5397.0,2725.0,6.410714285714286,5395.542688751519,5399.143765199409,5404.16612288826,5393.864156335731,122.0
2025-04-23 05:30:00+00:00,5397.0,5405.5,5395.5,5402.0,3977.0,6.517857142857143,5396.157670775184,5399.255774407276,5404.144569426686,5394.174868981926,122.0
2025-04-23 05:45:00+00:00,5402.0,5404.0,5400.25,5401.75,2317.0,6.375,5396.690273558499,5399.353587175618,5404.120742865226,5394.368464793794,122.0
2025-04-23 06:00:00+00:00,5402.0,5404.25,5398.0,5402.5,3576.0,6.285714285714286,5397.243580838642,5399.476975913829,5404.104616070547,5394.633821527869,122.0
2025-04-23 06:15:00+00:00,5402.5,5409.25,5400.0,5405.25,4055.0,6.464285714285714,5398.006096949248,5399.7033690152475,5404.116012925568,5395.042168555743,122.0
2025-04-23 06:30:00+00:00,5405.0,5406.0,5398.75,5402.25,2610.0,6.571428571428571,5398.4102781921765,5399.8032368970025,5404.097445632777,5395.225335438042,122.0
2025-04-23 06:45:00+00:00,5402.25,5404.75,5399.75,5400.0,2252.0,6.571428571428571,5398.561680269113,5399.810953097121,5404.056675029466,5395.358459103498,122.0
2025-04-23 07:00:00+00:00,5400.0,5407.25,5392.5,5400.0,7520.0,7.232142857142857,5398.698663100626,5399.818366701155,5404.016310103799,5395.66002439897,122.0
2025-04-23 07:15:00+00:00,5400.25,5406.75,5396.5,5401.75,4021.0,7.482142857142857,5398.989266614852,5399.8941170266,5403.993759754508,5395.865252746691,122.0
2025-04-23 07:30:00+00:00,5401.5,5409.25,5400.5,5408.5,4118.0,7.589285714285714,5399.895050746771,5400.2316026334,5404.038597965906,5396.210707004364,122.0
