ts,open,high,low,close,volume
2025-04-13 22:00:00+00:00,5447.25,5477.0,5442.0,5446.0,1211.0
2025-04-13 22:00:15+00:00,5445.0,5460.0,5444.75,5449.75,608.0
2025-04-13 22:00:30+00:00,5449.75,5456.5,5445.75,5455.25,597.0
2025-04-13 22:00:45+00:00,5455.0,5457.75,5450.0,5455.75,480.0
2025-04-13 22:01:00+00:00,5456.25,5465.0,5452.5,5453.5,1000.0
2025-04-13 22:01:15+00:00,5452.75,5453.25,5445.5,5445.75,781.0
2025-04-13 22:01:30+00:00,5446.0,5447.0,5441.5,5441.5,547.0
2025-04-13 22:01:45+00:00,5441.75,5442.5,5431.75,5432.25,776.0
2025-04-13 22:02:00+00:00,5432.5,5436.25,5430.5,5432.25,742.0
2025-04-13 22:02:15+00:00,5432.25,5440.0,5431.5,5435.5,755.0
2025-04-13 22:02:30+00:00,5435.75,5444.5,5435.25,5439.5,848.0
2025-04-13 22:02:45+00:00,5439.25,5442.75,5435.0,5441.0,540.0
2025-04-13 22:03:00+00:00,5440.5,5445.75,5439.75,5445.75,439.0
2025-04-13 22:03:15+00:00,5445.25,5448.0,5445.0,5448.0,385.0
2025-04-13 22:03:30+00:00,5448.25,5448.25,5444.25,5445.75,494.0
2025-04-13 22:03:45+00:00,5445.5,5446.75,5440.5,5440.5,535.0
2025-04-13 22:04:00+00:00,5440.75,5441.5,5436.75,5438.5,701.0
2025-04-13 22:04:15+00:00,5438.75,5443.5,5438.75,5441.5,394.0
2025-04-13 22:04:30+00:00,5441.25,5444.25,5441.0,5443.5,302.0
2025-04-13 22:04:45+00:00,5443.25,5443.25,5441.25,5442.5,153.0
2025-04-13 22:05:00+00:00,5442.25,5442.5,5437.25,5437.75,370.0
2025-04-13 22:05:15+00:00,5438.0,5440.0,5436.5,5439.0,270.0
2025-04-13 22:05:30+00:00,5439.0,5439.0,5436.25,5436.75,207.0
2025-04-13 22:05:45+00:00,5436.5,5437.25,5435.5,5436.0,250.0
2025-04-13 22:06:00+00:00,5435.75,5438.25,5433.25,5436.25,303.0
2025-04-13 22:06:15+00:00,5436.75,5436.75,5433.0,5433.5,395.0
2025-04-13 22:06:30+00:00,5434.0,5434.5,5433.0,5434.0,250.0
2025-04-13 22:06:45+00:00,5434.0,5435.5,5432.75,5435.0,256.0
2025-04-13 22:07:00+00:00,5434.75,5436.75,5434.25,5436.5,172.0
2025-04-13 22:07:15+00:00,5436.25,5439.0,5436.25,5437.0,238.0
2025-04-13 22:07:30+00:00,5437.0,5437.5,5431.25,5431.5,456.0
2025-04-13 22:07:45+00:00,5432.0,5432.75,5430.75,5431.25,223.0
2025-04-13 22:08:00+00:00,5431.25,5434.5,5430.5,5432.0,279.0
2025-04-13 22:08:15+00:00,5432.0,5433.75,5430.75,5431.25,261.0
