ts,open,high,low,close,volume
2025-04-16 00:00:00+00:00,5386.25,5388.5,5383.25,5386.25,2319.0
2025-04-16 00:05:00+00:00,5386.5,5387.25,5377.25,5382.5,2647.0
2025-04-16 00:10:00+00:00,5382.25,5383.75,5376.75,5377.5,1649.0
2025-04-16 00:15:00+00:00,5377.75,5380.0,5377.0,5378.5,1704.0
2025-04-16 00:20:00+00:00,5378.5,5379.5,5376.5,5379.25,1148.0
2025-04-16 00:25:00+00:00,5379.5,5379.75,5375.75,5378.75,1118.0
2025-04-16 00:30:00+00:00,5378.75,5378.75,5367.25,5372.75,3940.0
2025-04-16 00:35:00+00:00,5372.5,5376.25,5371.25,5375.5,1918.0
2025-04-16 00:40:00+00:00,5375.25,5377.25,5372.0,5373.75,2034.0
2025-04-16 00:45:00+00:00,5373.5,5377.0,5373.5,5375.75,920.0
2025-04-16 00:50:00+00:00,5375.5,5380.5,5375.5,5378.5,1779.0
2025-04-16 00:55:00+00:00,5378.25,5381.0,5374.25,5377.75,1760.0
2025-04-16 01:00:00+00:00,5378.0,5380.25,5377.75,5379.5,1332.0
2025-04-16 01:05:00+00:00,5379.5,5382.5,5379.0,5381.5,1308.0
2025-04-16 01:10:00+00:00,5381.75,5384.5,5381.25,5383.25,1299.0
2025-04-16 01:15:00+00:00,5383.25,5386.0,5383.25,5385.5,1408.0
2025-04-16 01:20:00+00:00,5385.75,5387.25,5385.25,5386.75,875.0
2025-04-16 01:25:00+00:00,5386.5,5387.25,5386.25,5386.75,560.0
2025-04-16 01:30:00+00:00,5387.25,5388.5,5385.5,5387.0,1061.0
2025-04-16 01:35:00+00:00,5387.25,5391.0,5387.0,5388.5,1722.0
2025-04-16 01:40:00+00:00,5388.75,5389.75,5385.75,5387.0,1129.0
2025-04-16 01:45:00+00:00,5387.25,5387.5,5386.25,5386.25,421.0
2025-04-16 01:50:00+00:00,5386.25,5387.5,5384.5,5385.25,990.0
2025-04-16 01:55:00+00:00,5385.25,5386.25,5384.25,5385.0,666.0
2025-04-16 02:00:00+00:00,5385.5,5390.0,5382.5,5387.25,2584.0
2025-04-16 02:05:00+00:00,5387.5,5388.25,5385.25,5385.75,704.0
2025-04-16 02:10:00+00:00,5385.75,5387.0,5384.0,5385.5,949.0
2025-04-16 02:15:00+00:00,5385.25,5385.25,5381.0,5381.5,1716.0
2025-04-16 02:20:00+00:00,5382.0,5383.25,5380.75,5382.5,961.0
2025-04-16 02:25:00+00:00,5382.75,5387.0,5382.5,5384.0,1637.0
2025-04-16 02:30:00+00:00,5383.75,5384.0,5382.25,5383.25,494.0
2025-04-16 02:35:00+00:00,5383.25,5384.75,5380.75,5381.25,1258.0
2025-04-16 02:40:00+00:00,5381.0,5383.25,5380.5,5382.25,641.0
2025-04-16 02:45:00+00:00,5382.0,5383.5,5381.0,5383.0,622.0
2025-04-16 02:50:00+00:00,5382.75,5383.25,5379.25,5381.25,1010.0
2025-04-16 02:55:00+00:00,5381.5,5383.0,5381.5,5383.0,528.0
2025-04-16 03:00:00+00:00,5383.0,5384.0,5382.0,5383.0,755.0
2025-04-16 03:05:00+00:00,5383.5,5384.75,5382.75,5384.25,730.0
2025-04-16 03:10:00+00:00,5384.25,5386.75,5384.25,5386.5,1289.0
2025-04-16 03:15:00+00:00,5386.5,5387.0,5385.25,5386.0,385.0
2025-04-16 03:20:00+00:00,5386.25,5388.25,5385.5,5386.75,624.0
2025-04-16 03:25:00+00:00,5386.5,5387.0,5380.0,5380.75,1712.0
2025-04-16 03:30:00+00:00,5380.75,5383.25,5380.75,5382.0,911.0
2025-04-16 03:35:00+00:00,5382.0,5383.5,5381.25,5383.0,663.0
2025-04-16 03:40:00+00:00,5382.75,5383.0,5379.5,5380.5,947.0
2025-04-16 03:45:00+00:00,5380.5,5381.0,5379.0,5379.75,981.0
2025-04-16 03:50:00+00:00,5379.75,5381.5,5379.75,5380.75,328.0
2025-04-16 03:55:00+00:00,5380.75,5381.0,5378.75,5379.25,992.0
2025-04-16 04:00:00+00:00,5379.25,5379.75,5377.25,5378.5,1346.0
